,Direction,1,2,3,4,5,6,7,8,9,10,11,12,
Time Interval (Minutes),,,,,,,,,,,,,,
0:00 - 1:00,,0,5,1,6,3,7,3,1,2,0,11,0,39
1:00 - 2:00,,1,0,4,13,0,2,0,15,0,1,0,0,36
2:00 - 3:00,,0,7,8,8,2,5,0,17,0,0,0,0,47
3:00 - 4:00,,0,5,0,10,2,5,4,0,2,0,0,0,28
4:00 - 5:00,,0,0,2,6,0,0,0,10,1,0,0,0,19
5:00 - 6:00,,1,6,2,2,4,3,0,11,1,0,2,0,32
6:00 - 7:00,,1,0,0,10,2,2,3,3,1,5,1,1,29
7:00 - 8:00,,0,5,3,12,0,4,1,14,0,2,2,0,43
8:00 - 9:00,,3,7,1,0,3,1,1,5,1,2,5,0,29
9:00 - 10:00,,1,0,3,10,1,0,0,12,0,2,0,0,29
10:00 - 11:00,,2,3,4,9,1,5,0,19,2,1,2,0,48
11:00 - 12:00,,2,0,0,10,0,5,3,0,0,0,0,0,20
12:00 - 13:00,,0,0,0,19,0,3,1,0,0,0,0,0,23
13:00 - 14:00,,1,12,7,1,7,3,0,17,0,1,3,0,52
14:00 - 15:00,,4,6,0,17,4,2,4,8,0,1,1,0,47
15:00 - 16:00,,1,5,6,8,1,4,4,20,0,2,0,2,53
16:00 - 17:00,,2,4,1,0,5,6,0,8,2,3,0,0,31
17:00 - 18:00,,0,8,0,15,1,1,0,17,0,0,2,0,44
18:00 - 19:00,,0,1,3,13,0,6,0,19,1,1,1,0,45
19:00 - 20:00,,1,5,0,4,6,5,2,1,1,0,2,0,27
20:00 - 21:00,,1,0,0,9,0,1,4,13,1,3,0,1,33
21:00 - 22:00,,0,8,1,10,0,2,0,23,0,0,0,1,45
22:00 - 23:00,,2,5,0,3,3,4,0,0,1,0,1,0,19
23:00 - 24:00,,0,3,6,17,0,1,2,12,0,1,1,0,43
24:00 - 25:00,,3,5,0,2,7,0,1,0,0,0,1,0,19
25:00 - 26:00,,2,10,4,0,0,6,0,11,2,1,2,0,38
26:00 - 27:00,,1,5,0,12,4,1,0,4,2,0,1,1,31
27:00 - 28:00,,0,1,3,23,0,6,1,14,1,2,0,0,51
28:00 - 29:00,,2,6,4,5,4,7,2,5,1,0,3,0,39
29:00 - 30:00,,1,0,0,21,0,4,1,8,1,0,0,0,36
30:00 - 31:00,,1,6,0,0,2,4,0,0,0,0,0,0,13
31:00 - 32:00,,0,4,1,1,6,3,0,2,0,0,1,0,18
32:00 - 33:00,,1,0,4,15,2,0,2,18,0,1,1,0,44
33:00 - 34:00,,2,8,5,2,0,9,0,16,2,0,2,0,46
34:00 - 35:00,,0,1,0,12,4,4,2,3,0,0,0,1,27
35:00 - 36:00,,0,0,3,11,0,1,1,21,0,2,1,0,40
36:00 - 37:00,,3,4,2,3,5,7,0,3,1,1,0,0,29
37:00 - 38:00,,2,0,3,8,0,3,1,11,0,2,0,1,31
38:00 - 39:00,,2,9,2,9,2,1,0,20,0,2,1,1,49
39:00 - 40:00,,1,7,2,1,5,5,2,4,1,0,2,0,30
40:00 - 41:00,,1,0,3,9,0,2,3,8,0,1,1,0,28
41:00 - 42:00,,0,5,7,8,2,5,0,11,1,2,0,0,41
42:00 - 43:00,,1,0,0,8,2,0,3,1,0,0,0,0,15
43:00 - 44:00,,0,0,0,0,0,0,0,0,0,0,0,0,0
44:00 - 44:07,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,166,95,362,90,145,51,405,28,39,50,9,
